Log ID,Production Date,SKU,Lot Number, Quantity Boxes 
71,2021-10-19,CHIPS-PEPPER-1234,LOT44488, 265 
72,2021-10-19,CHIPS-PEPPER-1234,LOT44488," 3,300 "
73,2021-10-19,CHIPS-SALT-1234,LOT44488," 4,500 "
74,2021-10-19,CHIPS-SALT-1234,LOT44489, 260 
75,2021-10-19,CHIPS-SALT-1234,LOT44489, 260 
76,2021-10-19,CHIPS-SALT-1234,LOT44489, 260 
77,2021-10-19,CHIPS-SALT-1234,LOT44489, 66 
78,2021-10-20,CHIPS-MINI-1234,LOT44489, 260 
79,2021-10-20,CHIPS-MINI-1234,LOT44490," 3,300 "
80,2021-10-20,CHIPS-JUMBO-1234,LOT44490, 260 
81,2021-10-20,CHIPS-JUMBO-1234,LOT44490, 260 
82,2021-10-20,CHIPS-JUMBO-1234,LOT44490," 3,300 "
83,2021-10-20,CHIPS-JUMBO-1234,LOT44490, 255 
84,2021-10-21,CHIPS-MINI-1234,LOT44490, 261 
86,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 260 
85,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 260 
87,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 234 
88,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 264 
89,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 260 
90,2021-10-21,CHIPS-JUMBO-1234,LOT44491, 110 
91,2021-10-22,CHIPS-MINI-1234,LOT44491, 104 
92,2021-10-22,CHIPS-MINI-1234,LOT44491, 89 
93,2021-10-22,CHIPS-KETTLE-1234,LOT44491, 260 
94,2021-10-22,CHIPS-KETTLE-1234,LOT44492, 245 
96,2021-10-25,CHIPS-MINI-1234,LOT44494, 261 
97,2021-10-25,CHIPS-MINI-1234,LOT44494," 3,381 "
98,2021-10-25,CHIPS-JUMBO-1234,LOT44495, 260 
99,2021-10-25,CHIPS-JUMBO-1234,LOT44495, 260 
100,2021-10-25,CHIPS-JUMBO-1234,LOT44495, 51 
101,2021-10-26,CHIPS-LIGHT-1234,LOT44495, 267 
102,2021-10-26,CHIPS-LIGHT-1234,LOT44495," 3,300 "
103,2021-10-26,CHIPS-HPROTEIN-1234,LOT44495, 260 
104,2021-10-26,CHIPS-HPROTEIN-1234,LOT44496, 260 
105,2021-10-26,CHIPS-HPROTEIN-1234,LOT44496, 271 
106,2021-10-28,CHIPS-PEPPER-1234,LOT44497, 278 
107,2021-10-28,CHIPS-PEPPER-1234,LOT44497," 3,300 "
108,2021-10-28,CHIPS-SALT-1234,LOT44498, 260 
109,2021-10-28,CHIPS-SALT-1234,LOT44498, 260 
110,2021-10-28,CHIPS-SALT-1234,LOT44498, 260 
111,2021-10-28,CHIPS-SALT-1234,LOT44498, 25 
112,2021-10-28,CHIPS-KETTLE-1234,LOT44498, 260 
113,2021-10-28,CHIPS-KETTLE-1234,LOT44498, 260 
114,2021-10-29,CHIPS-MINI-1234,LOT44498, 260 
115,2021-10-29,CHIPS-MINI-1234,LOT44498, 260 
116,2021-10-29,CHIPS-JUMBO-1234,LOT44499, 260 
117,2021-10-29,CHIPS-JUMBO-1234,LOT44499, 260 
118,2021-10-29,CHIPS-JUMBO-1234,LOT44499, 260 
119,2021-10-29,CHIPS-JUMBO-1234,LOT44499, 178 
120,2021-10-29,CHIPS-BAKED-1234,LOT44499, 260 
121,2021-10-29,CHIPS-BAKED-1234,LOT44499, 175 
122,2021-11-01,CHIPS-LIGHT-1234,LOT44501, 268 
123,2021-11-01,CHIPS-LIGHT-1234,LOT44501," 3,300 "
124,2021-11-01,CHIPS-HPROTEIN-1234,LOT44502," 3,300 "
125,2021-11-01,CHIPS-HPROTEIN-1234,LOT44502, 274 
126,2021-11-01,CHIPS-HPROTEIN-1234,LOT44502, 260 
127,2021-11-01,CHIPS-HPROTEIN-1234,LOT44502, 260 
128,2021-11-01,CHIPS-HPROTEIN-1234,LOT44502, 108 
129,2021-11-01,CHIPS-BAKED-1234,LOT44502, 260 
130,2021-11-01,CHIPS-BAKED-1234,LOT44502, 119 
131,2021-11-01,CHIPS-KETTLE-1234,LOT44502, 260 
132,2021-11-01,CHIPS-KETTLE-1234,LOT44502, 41 
133,2021-11-02,CHIPS-PEPPER-1234,LOT44502, 260 
134,2021-11-02,CHIPS-PEPPER-1234,LOT44503," 3,300 "
135,2021-11-02,CHIPS-SALT-1234,LOT44503," 3,300 "
136,2021-11-02,CHIPS-SALT-1234,LOT44503, 260 
137,2021-11-02,CHIPS-SALT-1234,LOT44503, 260 
138,2021-11-02,CHIPS-SALT-1234,LOT44503, 241 
139,2021-11-03,CHIPS-MINI-1234,LOT44503," 3,300 "
140,2021-11-03,CHIPS-MINI-1234,LOT44503, 263 
141,2021-11-03,CHIPS-JUMBO-1234,LOT44504," 3,300 "
142,2021-11-03,CHIPS-JUMBO-1234,LOT44504, 260 
143,2021-11-03,CHIPS-JUMBO-1234,LOT44504, 152 
144,2021-11-03,CHIPS-KETTLE-1234,LOT44504, 260 
145,2021-11-03,CHIPS-KETTLE-1234,LOT44504, 260 
146,2021-11-03,CHIPS-JUMBO-1234,LOT44504, 260 
147,2021-11-04,CHIPS-MINI-1234,LOT44504, 262 
148,2021-11-04,CHIPS-JUMBO-1234,LOT44504, 260 
149,2021-11-04,CHIPS-JUMBO-1234,LOT44505, 260 
150,2021-11-04,CHIPS-JUMBO-1234,LOT44505, 260 
152,2021-11-04,CHIPS-JUMBO-1234,LOT44505, 145 
151,2021-11-04,CHIPS-JUMBO-1234,LOT44505, 260 
153,2021-11-04,CHIPS-BAKED-1234,LOT44505, 260 
154,2021-11-04,CHIPS-KETTLE-1234,LOT44505, 262 
155,2021-11-08,CHIPS-LIGHT-1234,LOT44508, 260 
156,2021-11-08,CHIPS-LIGHT-1234,LOT44509," 3,100 "
157,2021-11-08,CHIPS-HPROTEIN-1234,LOT44509," 3,200 "
158,2021-11-08,CHIPS-HPROTEIN-1234,LOT44509, 260 
159,2021-11-08,CHIPS-HPROTEIN-1234,LOT44509, 260 
160,2021-11-08,CHIPS-HPROTEIN-1234,LOT44509, 260 
161,2021-11-08,CHIPS-HPROTEIN-1234,LOT44509, 136 
162,2021-11-09,CHIPS-PEPPER-1234,LOT44509, 260 
163,2021-11-09,CHIPS-PEPPER-1234,LOT44510," 3,300 "
164,2021-11-09,CHIPS-SALT-1234,LOT44510," 3,300 "
165,2021-11-09,CHIPS-SALT-1234,LOT44510, 260 
166,2021-11-09,CHIPS-SALT-1234,LOT44510, 117 
167,2021-11-09,CHIPS-BAKED-1234,LOT44510, 260 
168,2021-11-09,CHIPS-BAKED-1234,LOT44510, 227 
169,2021-11-10,CHIPS-MINI-1234,LOT44510, 260 
170,2021-11-10,CHIPS-MINI-1234,LOT44510, 260 
171,2021-11-10,CHIPS-MINI-1234,LOT44511," 3,300 "
172,2021-11-10,CHIPS-JUMBO-1234,LOT44511," 3,300 "
173,2021-11-10,CHIPS-JUMBO-1234,LOT44511, 162 
174,2021-11-11,CHIPS-MINI-1234,LOT44511, 263 
175,2021-11-11,CHIPS-JUMBO-1234,LOT44511, 260 
176,2021-11-11,CHIPS-JUMBO-1234,LOT44512, 260 
178,2021-11-11,CHIPS-JUMBO-1234,LOT44512, 260 
177,2021-11-11,CHIPS-JUMBO-1234,LOT44512, 260 
179,2021-11-11,CHIPS-JUMBO-1234,LOT44512, 135 
180,2021-11-12,CHIPS-MINI-1234,LOT44512, 264 
181,2021-11-12,CHIPS-JUMBO-1234,LOT44512, 260 
182,2021-11-12,CHIPS-JUMBO-1234,LOT44512, 260 
183,2021-11-12,CHIPS-JUMBO-1234,LOT44513, 260 
184,2021-11-12,CHIPS-JUMBO-1234,LOT44513, 260 
185,2021-11-12,CHIPS-JUMBO-1234,LOT44513, 141 
186,2021-11-12,CHIPS-JUMBO-1234,LOT44513, 100 
187,2021-11-12,CHIPS-KETTLE-1234,LOT44513, 260 
188,2021-11-12,CHIPS-KETTLE-1234,LOT44513, 260 
189,2021-11-15,CHIPS-PEPPER-1234,LOT44515, 260 
190,2021-11-15,CHIPS-PEPPER-1234,LOT44516," 1,500 "
191,2021-11-15,CHIPS-SALT-1234,LOT44516," 1,500 "
192,2021-11-15,CHIPS-SALT-1234,LOT44516, 260 
193,2021-11-15,CHIPS-SALT-1234,LOT44516, 260 
194,2021-11-15,CHIPS-SALT-1234,LOT44516, 260 
195,2021-11-15,CHIPS-SALT-1234,LOT44516, 156 
196,2021-11-15,CHIPS-SALT-1234,LOT44516, 75 
197,2021-11-15,CHIPS-SALT-1234,LOT44516, 100 
198,2021-11-16,CHIPS-LIGHT-1234,LOT44516, 260 
199,2021-11-16,CHIPS-LIGHT-1234,LOT44517," 1,500 "
200,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517," 1,500 "
201,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 260 
202,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 260 
203,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 260 
204,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 260 
205,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 115 
206,2021-11-16,CHIPS-HPROTEIN-1234,LOT44517, 100 
207,2021-11-16,CHIPS-BAKED-1234,LOT44517, 166 
208,2021-11-16,CHIPS-BAKED-1234,LOT44517, 260 
209,2021-11-16,CHIPS-BAKED-1234,LOT44517, 260 
210,2021-11-16,CHIPS-KETTLE-1234,LOT44517, 184 
211,2021-11-17,CHIPS-BAKED-1234,LOT44517, 74 
212,2021-11-17,CHIPS-BAKED-1234,LOT44517, 20 
213,2021-11-17,CHIPS-KETTLE-1234,LOT44517, 54 
214,2021-11-17,CHIPS-KETTLE-1234,LOT44517, 22 
215,2021-11-17,CHIPS-MINI-1234,LOT44517, 260 
216,2021-11-17,CHIPS-MINI-1234,LOT44518," 1,500 "
217,2021-11-17,CHIPS-JUMBO-1234,LOT44518," 1,500 "
218,2021-11-17,CHIPS-MINI-1234,LOT44518, 260 
219,2021-11-17,CHIPS-HPROTEIN-1234,LOT44518, 4 
220,2021-11-17,CHIPS-JUMBO-1234,LOT44518, 260 
221,2021-11-17,CHIPS-JUMBO-1234,LOT44518, 260 
222,2021-11-17,CHIPS-JUMBO-1234,LOT44518, 206 
223,2021-11-18,CHIPS-MINI-1234,LOT44518, 265 
224,2021-11-18,CHIPS-JUMBO-1234,LOT44519, 260 
